5.3 6.4
7.7 6.6
8.85 5.8
11.5 5.7
9.35 7
12.65 5.6
11.55 6.4
14.45 5.5
14.8 4.6
16.6 4.6
16.35 3.7
19.15 3.55
17.95 4.6
21.75 4.3
21.75 4.3
21.75 3.55
23.4 3.55
23.4 3.55
22.9 4.3
25 3.9
24.1 4.35
26.2 4.35
28.2 4.95
29.85 4.25
28.05 4.25
32.05 4.3
30.35 5.75
32.75 5.15
32.6 5.75
32.6 5.75
33.45 7.3
36.6 5.95
32.85 7.4
36 5.9
36.35 8.4
36.1 11.8
37.1 9.6
36.05 10.4
38.05 12.65
35.7 14.25
36.65 13.5
37 16.25
35.95 16.8
35.95 16.8
35.9 15.9
33.15 17.8
29.25 18.05
30.35 17.25
30.7 17.6
27.8 17.95
24.95 16.9
25.65 16.85
22.45 17.45
23.45 15.4
20.25 16
18.35 15.8
15.55 17.05
15.3 15.95
13.9 17.4
11.8 17.3
12.65 16.1
9.05 17.35
8.4 16.6
6.6 17.15
5.6 15.95
5.6 15.95
6.2 14.55
6.2 14.55
8.65 13.55
8.65 13.55
8.6 15.1
7.35 14.3
11.85 12.65
10.7 12.8
14.2 12.55
12.55 12
15.7 11.2
15.7 11.2
17.65 11.65
16.05 11.55
16.85 10.95
19 10.35
19.85 10.05
17.75 10.05
21.1 8.9
23.95 8.4
22.9 8.5
23.25 8
26.05 7
